Location Name,Latitude,Longitude,Asset ID
REDGATE MILL CROWBOROUGH WTW,51.06636,0.21366155,Asset_80
ROMSEY WTW,50.98685,-1.5145227,Asset_81
RYE WTW,50.94493,0.743830556,Asset_82
SANDOWN NEW WTW,50.6636,-1.148504,Asset_83
SCAYNES HILL WTW,51.00271,-0.0395358,Asset_84
SELLINDGE WTW,51.10541,0.97998979,Asset_85
SHOREHAM WTW,50.82914,-0.2318153,Asset_86
SIDLESHAM WTW,50.75452,-0.7975226,Asset_87
SITTINGBOURNE WTW,51.3501,0.74433354,Asset_88
SLOWHILL COPSE MARCHWOOD WTW,50.89817,-1.4563215,Asset_89
SOUTH AMBERSHAM WTW,50.98092,-0.6931613,Asset_90
STAPLEHURST WTW,51.17206,0.55861331,Asset_91
STEYNING WTW,50.89579,-0.3153832,Asset_92
STORRINGTON WTW,50.92823,-0.46981876,Asset_93
SUMMER LANE PAGHAM WTW,50.78288,-0.7473456,Asset_94
SWALECLIFFE WTW,51.36514,1.06240331,Asset_95
TANGMERE WTW,50.85119,-0.6979822,Asset_96
TENTERDEN WTW,51.06184,0.66391665,Asset_97
THORNHAM WTW,50.84037,-0.9263979,Asset_98
TONBRIDGE WTW,51.19262,0.28839363,Asset_99
TUNBRIDGE WELLS NORTH WTW,51.15695,0.28854316,Asset_100
TUNBRIDGE WELLS SOUTH WTW,51.12121,0.20590714,Asset_101
UCKFIELD WTW,50.96575,0.08423842,Asset_102
VINES CROSS WTW,50.93049,0.268556887,Asset_103
WATERINGBURY WTW,51.25145,0.430453271,Asset_104
WEATHERLEES HILL A WTW,51.31669,1.345251907,Asset_105
WEATHERLEES HILL B WTW,51.316109,1.346901,Asset_106
HYTHE WTW,51.05877,1.03362913,Asset_107
WEST WELLOW WTW,50.97081,-1.550323,Asset_108
WESTBERE WTW,51.30864,1.15681019,Asset_109
WHITCHURCH WTW,51.21854,-1.3333078,Asset_110
WHITEWALL CREEK WTW,51.40347,0.516022588,Asset_111
WOOLSTON WTW,50.89189,-1.3827015,Asset_112
Unknown STW,50.7182139,-1.2837316,Asset_113
ASHFORD STC,51.15291,0.88739903,Asset_114
AYLESFORD STC,51.3086,0.46778128,Asset_115
BUDDS FARM HAVANT STC,50.84532,-0.99561413,Asset_116
CANTERBURY STC,51.29513,1.10831011,Asset_117
FORD STC,50.81832,-0.5890157,Asset_118
FULLERTON STC,51.17177,-1.47407714,Asset_119
GODDARDS GREEN STC,50.97015,-0.16413907,Asset_120
GRAVESEND STC,51.4398,0.39589028,Asset_121
HAM HILL STC,51.32202,0.44586662,Asset_122
HASTINGS STC,50.85711,0.508463241,Asset_123
MILLBROOK STC,50.91161,-1.448711,Asset_124
MOTNEY HILL STC,51.38505,0.62788502,Asset_125
PEACEHAVEN STC,50.793899,0.006999,Asset_126
QUEENBOROUGH STC,51.40274,0.74289724,Asset_127
SANDOWN STC,50.6636,-1.148504,Asset_128
WORTHING STC,50.82026,-0.3413577,Asset_129
BROOMFIELD BANK WwTW,51.11461,1.26337553,Asset_130
CHICHESTER WwTW,50.82851,-0.8058328,Asset_131
CHICKENHALL EASTLEIGH WwTW,50.96044,-1.3388051,Asset_132
EASTBOURNE WwTW,50.78493,0.32692328,Asset_133
EDENBRIDGE WwTW,51.20609,0.07857777,Asset_134
HAILSHAM NORTH WwTW,50.87337,0.27236292,Asset_135
HORSHAM NEW WwTW,51.05428,-0.3619624,Asset_136
NEWHAVEN EAST WwTW,50.7878,0.0594599,Asset_137
PEEL COMMON WwTW,50.82648,-1.1991708,Asset_138
SCAYNES HILL WwTW,51.00271,-0.0395358,Asset_139
SHOREHAM WwTW,50.82914,-0.2318153,Asset_140
TUNBRIDGE WELLS NORTH WwTW,51.15695,0.28854316,Asset_141
WEATHERLEES HILL B (MGATE & BSTAIRS) WwTW,51.316109,1.346901,Asset_142
WOOLSTON WwTW,50.89189,-1.3827015,Asset_143
PORTSWOOD WwTW,50.9297,-1.382571,Asset_144
